,text,category,label
0,The quality of re made now makes me think it is something to be bought from fish market,Covertly_Aggressive,True
1,"@siva 
How is ur mother???
How is ur wife???
How is ur sister???

Hope everyone is fine....😁😁😁",normal,False
2,Also see ....hw ur RSS activist caught in Burkha .... throwing beef in d holy temples...https://www.google.co.in/amp/www.india.com/news/india/burkha-clad-rss-activist-caught-throwing-beef-at-temple-pictures-go-viral-on-facebook-593154/amp/,normal,False
3,"On the death of 2 jawans in LOC CROSS FIRING

OUR H'BLE HOME MINISTER MUST SING;

 RAAG: KADI NINDA......
GHARANA: BJP; 
USTAD RAJ NATH SINGH & AMIT SHAH.",normal,False
4,Modi ho ya Manmohan singh saala yeh log kuch ny karta hai sirf vote ka lia 56 ka seena dikahata hai,Overtly_Aggressive,True
5,"No discrimination in policies and NON protectionism  is perhaps the fundamentals of SECULARISM. 
E nd reservations  on the basis of caste  Religion and communities to understand the essence  of SECULARISM.",Covertly_Aggressive,True
6,"As Mr Ashwini gujral said once nifty will touch 8200 , it is most likely nifty will test 8200, 8145, 8078, & 8050",normal,False
7,After seeing your comment guys.. I think sonu nigam is right cause you guys can only troll all religions..,Covertly_Aggressive,True
8,What has so far Mr.Yechuri done for this Country. Ask him to shut down his bloody piehole  for good or I if given the chance will crap on his mouth hole.,Covertly_Aggressive,True
9,SONIA SHENOY.....A KONKONI.....WRONGLY INTERPRETES HER AS A MUMBAIKAR....33 YEARS.......IN A SERIOUS BUSINESS CHANNEL SHE ACTS AS IF SHE IS IN A ENTERTAINMENT CHANNEL.......PLEASE DONT SHOW YOUR UCHA UCHA DAAT......LEARN IT FROM EKTA BATRA AND RIMA TENDULKAR.......,Covertly_Aggressive,True
10,Now all AAPtards will abuse ANNA HAJARE,normal,False
11,"I salute ..@ Neel Patel,,U r just amazing. Each & every comment of urs is true & correct...India n world need people like U...Love u my brother.God bless U...& pls don't stop here. Keep ur comments on every required post...",normal,False
12,"Hi Sonia!! Markets & reliance zooming like rocket, what's your take on nifty breaking all time high",normal,False
13,"These kashmiri youth are radicalized jihadi terrorists. There are a few exception, but most of them are religious fanatics so keeping them at home is equal to keep a time bomb at home.",Overtly_Aggressive,True
14,If you want to construct a smooth road you have to remove garbage and it's difficult. If you want go on highway you have to come out from street. Some problems are necessary to enter in next class. 👌👌🏻👍👍✔👍🏼☑,Covertly_Aggressive,True
15,Phantom 2 under production where Saif Ali Khan will avenge this mutilation by killing 100s of Pak soldiers.,Covertly_Aggressive,True
16,Nothing can change your attitude towards muslim even your own religion.,Covertly_Aggressive,True
17,Even i didn't watch dangal till now but this movie pulled me in theatre n its a gem in Indian cinema...,Covertly_Aggressive,True
18,Cheap publicity...can he also answer why should food habits be forced on others,Overtly_Aggressive,True
19,Yes,normal,False
20,Puppies are way more important,Covertly_Aggressive,True
21,"Says a guy who lives in a Christian country Australia 😂😂

If you hate Christianity for real why you radical Hindu people going for Christian countries to settle you're sophisticated life ?

You y'all talk so much of hatred  about Christianity but also want to settle in Christian country to live a sophisticated life

Why do you live India in the first place ?

Waarae waaah! 

Such hypocrites

Hindu people are getting so toxic nowadays 
Not everyone but i do find a lotta hatred comments on Christian people though they never poke or call them with pet names as you call random Christian person whenever you see on social media like ""converts, missionaries,know you're ancestor's""

Seriously too much toxic",Overtly_Aggressive,True
22,BJP Agent,Overtly_Aggressive,True
23,Ambuja cements results are very bad... but y it is going up,Overtly_Aggressive,True
24,"He is right bjp has all kind of people in party but it is not secular..hindu muslim chritians 
Who is secular then?",normal,False
25,Is there any end to bother pill,Covertly_Aggressive,True
26,The live feed is getting disconnected again and again. Whats wrong,normal,False
27,Anuj sir y bank nifty not stopping?now.need to cool off,normal,False
28,Muni I have no proof. But I am a common man and I have seen those videos on TV channels. If they were fake those channels should not have shown them. Onus of verifying truth is on channels and not viewers.  Beside I have not heard affected parties filing defamation suits against these channels.,normal,False
29,How many people died on dat,normal,False
30,Pakistan is No 1 Lier in the World but it's Days are Over.,Overtly_Aggressive,True
31,This is why India looses great sport men & women. MONEY given from all directions. In Great Britain for comparison  ( 2nd position in Rio ) do not get a single penny  ( rupee ) just all the sport facilities.,normal,False
32,"I am a Hindu. And i actually find the azaan very peaceful. Infact wen one is crying the whole night , the morning azaan makes you realise you are not alone and God is there. You dont have to be a muslim to realise dat.",Covertly_Aggressive,True
33,"now , in reply to ur comment is that ur comment is totally irrelevant to this issue. or u r pampering the killing ?",Covertly_Aggressive,True
34,Ha ha just like the PM then. Cries a river every alternate month.,Overtly_Aggressive,True
35,Monica Kumar,normal,False
36,It's like immature statement its not that BJP win or loose just for sake of 2 days why BJP pay heavy money to channels as results will fall in 2 days illogical,Covertly_Aggressive,True
37,"Good wishes for ...All family and friends and worldwide f.b.frnds brahmanjan parivaarjan 
Good wishes for gareeb kamjoor wargh ke logo dharm ke avatari purshv.....Yogi Aditya Nath C.M.
Pt kunjbihari vashishith famous Astrologer Modinagar",Covertly_Aggressive,True
38,What was he doing with Pistols and ammunition? doing pooja in that room?,Covertly_Aggressive,True
